epochMillis,id,latitude,longitude
1395650092000,32068050,31.842991100000003,-107.6446066
1709011398000,32164283,31.843014800000002,-107.6464754
1709011398000,32164284,31.8446676,-107.64647230000001
1709011398000,32164636,31.8443341,-107.65056670000001
1709011398000,32164637,31.844340700000004,-107.64647280000001
1709011398000,32164800,31.843765100000002,-107.6491594
1709011398000,32164801,31.843714300000002,-107.6464741
1184711175000,32164978,31.845761500000002,-107.6492705
1709011398000,32164979,31.844336100000003,-107.64930980000001
1304142488000,32165625,31.845322200000002,-107.6524521
1304142489000,32165627,31.845290400000003,-107.6516852
1304142488000,32165628,31.845290400000003,-107.65137630000001
1304142490000,32165629,31.845283100000003,-107.65119600000001
1304142489000,32165630,31.8452686,-107.65101580000001
1304142491000,32165631,31.8452102,-107.6506896
1304142491000,32165632,31.8451446,-107.6501575
1304142489000,32165633,31.845079000000002,-107.64969400000001
1304142488000,32165634,31.845079000000002,-107.64934210000001
1395650092000,32165635,31.845117700000003,-107.64861470000001
1395650093000,32165638,31.845115800000002,-107.6470001
1395650093000,32165640,31.8450823,-107.64617190000001
1395650093000,32165641,31.8450433,-107.64593970000001
1395650093000,32165643,31.8449093,-107.6455607
1395650093000,32165645,31.8448673,-107.6453402
1709011398000,32165973,31.845432100000004,-107.6504211
1709011398000,32165978,31.8454276,-107.6483046
1709011398000,32165982,31.845438,-107.64928180000001
1709011398000,32166788,31.8453844,-107.64790430000001
1304142489000,32169812,31.8460849,-107.6493252
1709011398000,32187870,31.8431928,-107.6478563
1709011398000,32187871,31.8437407,-107.64786550000001
1709011398000,32187872,31.8443384,-107.6478754
1304142488000,32187875,31.843273300000003,-107.6491419
1184722780000,32187876,31.843326200000003,-107.6491503
1709011398000,32187877,31.844336300000002,-107.6491728
1709011398000,32187879,31.843207800000002,-107.64647500000001
1304142491000,32187916,31.8462016,-107.6506727
1304142488000,32187917,31.8461615,-107.65006330000001
1562352388000,32217052,31.8321444,-107.6546606
1352581641000,32217053,31.8356461,-107.6546481
1190570572000,32217056,31.8331799,-107.6546349
1185532398000,32270319,31.846000000000004,-107.65010000000001
1184837518000,32301061,31.8446485,-107.650621
1184837518000,32301062,31.843700700000003,-107.6505695
1304142489000,32301466,31.8459055,-107.6553274
1304142490000,32301467,31.8459055,-107.6551987
1304142490000,32301468,31.8458326,-107.65489830000001
1304142488000,32301469,31.845737800000002,-107.65458070000001
1304142491000,32301470,31.845708600000002,-107.65427170000001
1304142489000,32301471,31.845613800000002,-107.6540142
1304142489000,32301472,31.845577400000003,-107.6537567
1304142491000,32301473,31.845592000000003,-107.65355070000001
1304142490000,32301474,31.845519000000003,-107.65329320000001
1304142488000,32301475,31.845417,-107.6530958
1304142487000,32301476,31.8454316,-107.65294990000001
1304142489000,32301477,31.845322200000002,-107.65272680000001
1395650093000,32301478,31.844868400000003,-107.6449419
1395650093000,32301481,31.844859000000003,-107.6433633
1395650093000,32301482,31.844840400000002,-107.64285720000001
1395650093000,32301483,31.844767800000003,-107.6424585
1562352388000,32301489,31.8438121,-107.63852630000001
1434352933000,32385667,31.8233174,-107.6546014
1660962008000,32387434,31.783649800000003,-107.6279324
1600750856000,32387436,31.7815578,-107.6273855
1190570572000,32489961,31.8385019,-107.65455200000001
1352581640000,32489962,31.835925000000003,-107.6545437
1434352933000,32494034,31.810726000000003,-107.47970910000001
1434352933000,32494036,31.806773200000002,-107.45154000000001
