epochMillis,id,nodeId,latitude,longitude
1184836933000,4914609,32164283,31.843014800000002,-107.6464754
1184836933000,4914609,32187879,31.843207800000002,-107.64647500000001
1184836933000,4914609,32164801,31.843714300000002,-107.6464741
1184836933000,4914609,32164637,31.844340700000004,-107.64647280000001
1184836933000,4914609,32164284,31.8446676,-107.64647230000001
1709011398000,4914617,32164636,31.8443341,-107.65056670000001
1709011398000,4914617,32164979,31.844336100000003,-107.64930980000001
1709011398000,4914617,32187877,31.844336300000002,-107.6491728
1709011398000,4914617,32187872,31.8443384,-107.6478754
1709011398000,4914617,32164637,31.844340700000004,-107.64647280000001
1709011398000,4914618,32164800,31.843765100000002,-107.6491594
1709011398000,4914618,32187871,31.8437407,-107.64786550000001
1709011398000,4914618,32164801,31.843714300000002,-107.6464741
1533539318000,4914627,32169812,31.8460849,-107.6493252
1533539318000,4914627,32164978,31.845761500000002,-107.6492705
1533539318000,4914627,32165982,31.845438,-107.64928180000001
1533539318000,4914627,5811749850,31.8450816,-107.64929260000001
1533539318000,4914627,32164979,31.844336100000003,-107.64930980000001
1533539318000,4914640,32301466,31.8459055,-107.6553274
1533539318000,4914640,32301467,31.8459055,-107.6551987
1533539318000,4914640,32301468,31.8458326,-107.65489830000001
1533539318000,4914640,32301469,31.845737800000002,-107.65458070000001
1533539318000,4914640,32301470,31.845708600000002,-107.65427170000001
1533539318000,4914640,32301471,31.845613800000002,-107.6540142
1533539318000,4914640,32301472,31.845577400000003,-107.6537567
1533539318000,4914640,32301473,31.845592000000003,-107.65355070000001
1533539318000,4914640,32301474,31.845519000000003,-107.65329320000001
1533539318000,4914640,32301475,31.845417,-107.6530958
1533539318000,4914640,32301476,31.8454316,-107.65294990000001
1533539318000,4914640,32301477,31.845322200000002,-107.65272680000001
1533539318000,4914640,32165625,31.845322200000002,-107.6524521
1533539318000,4914640,32165627,31.845290400000003,-107.6516852
1533539318000,4914640,32165628,31.845290400000003,-107.65137630000001
1533539318000,4914640,32165629,31.845283100000003,-107.65119600000001
1533539318000,4914640,32165630,31.8452686,-107.65101580000001
1533539318000,4914640,32165631,31.8452102,-107.6506896
1533539318000,4914640,32165632,31.8451446,-107.6501575
1533539318000,4914640,32165633,31.845079000000002,-107.64969400000001
1533539318000,4914640,32165634,31.845079000000002,-107.64934210000001
1533539318000,4914640,5811749850,31.8450816,-107.64929260000001
1533539318000,4914640,32165635,31.845117700000003,-107.64861470000001
1533539318000,4914640,32165638,31.845115800000002,-107.6470001
1533539318000,4914640,32165640,31.8450823,-107.64617190000001
1533539318000,4914640,32165641,31.8450433,-107.64593970000001
1533539318000,4914640,32165643,31.8449093,-107.6455607
1533539318000,4914640,32165645,31.8448673,-107.6453402
1709011398000,4914654,32165973,31.845432100000004,-107.6504211
1709011398000,4914654,32165982,31.845438,-107.64928180000001
1709011398000,4914654,32165978,31.8454276,-107.6483046
1709011398000,4915754,11668375443,31.843002100000003,-107.64785300000001
1709011398000,4915754,32187870,31.8431928,-107.6478563
1709011398000,4915754,32187871,31.8437407,-107.64786550000001
1709011398000,4915754,32187872,31.8443384,-107.6478754
1184837273000,4915755,32187875,31.843273300000003,-107.6491419
1184837273000,4915755,32187876,31.843326200000003,-107.6491503
1184837273000,4915755,32164800,31.843765100000002,-107.6491594
1184837273000,4915755,32187877,31.844336300000002,-107.6491728
1709011398000,4915756,32187879,31.843207800000002,-107.64647500000001
1709011398000,4915756,32187870,31.8431928,-107.6478563
1709011398000,4915756,11668375444,31.843180500000003,-107.6489851
1709011398000,4915756,32187875,31.843273300000003,-107.6491419
1709011398000,4915758,32187916,31.8462016,-107.6506727
1709011398000,4915758,32187917,31.8461615,-107.65006330000001
1709011398000,4915758,32169812,31.8460849,-107.6493252
1709011398000,4918163,142866279,31.8429855,-107.65454240000001
1709011398000,4918163,32489961,31.8385019,-107.65455200000001
1709011398000,4918163,32489962,31.835925000000003,-107.6545437
1709011398000,4918163,2007165931,31.8357671,-107.6545928
1709011398000,4918163,32217053,31.8356461,-107.6546481
1709011398000,4918163,6796056344,31.835564,-107.65464770000001
1709011398000,4918163,32217056,31.8331799,-107.6546349
1709011398000,4918163,32217052,31.8321444,-107.6546606
1709011398000,4918163,59151996,31.828506100000002,-107.6546448
1709011398000,4918163,2036637528,31.8250436,-107.6546581
1709011398000,4918163,2036637527,31.824957800000004,-107.6545377
1709011398000,4918163,2036637526,31.824886300000003,-107.65448970000001
1709011398000,4918163,2036637525,31.8248062,-107.65451100000001
1709011398000,4918163,2036637524,31.8247147,-107.6545725
1709011398000,4918163,2036637523,31.824197100000003,-107.6545581
1709011398000,4918163,2036637522,31.824157200000002,-107.654499
1709011398000,4918163,2036637521,31.824091300000003,-107.6544597
1709011398000,4918163,2036637520,31.8240398,-107.654476
1709011398000,4918163,2036637519,31.8239687,-107.654548
1709011398000,4918163,2036637518,31.8239483,-107.65458980000001
1709011398000,4918163,32385667,31.8233174,-107.6546014
1709011398000,4922966,32301061,31.8446485,-107.650621
1709011398000,4922966,32164636,31.8443341,-107.65056670000001
